date_time|object|count
2019-12-15-18:48|car|4.738636
2019-12-15-18:48|person|0.539773
2019-12-15-18:49|car|5.107345
2019-12-15-18:49|person|0.248588
2019-12-15-18:50|car|4.96
2019-12-15-18:50|person|0.297143
2019-12-15-18:50|suitcase|0.005714
2019-12-15-18:51|car|4.707317
2019-12-15-18:51|person|0.542683
2019-12-15-18:51|truck|0.006098
2019-12-15-18:52|car|5.043103
2019-12-15-18:52|person|0.284483
2019-12-15-18:53|car|4.986842
2019-12-15-18:53|person|0.309211
2019-12-15-18:54|car|5.028409
2019-12-15-18:54|truck|0.005682
2019-12-15-18:54|person|0.005682
2019-12-15-18:55|car|4.145455
2019-12-15-18:55|person|0.290909
2019-12-15-18:55|truck|0.042424
2019-12-15-18:56|car|4.282486
2019-12-15-18:56|person|0.050847
2019-12-15-18:57|car|4.82659
2019-12-15-18:57|person|0.023121
2019-12-15-18:58|car|4.331395
2019-12-15-18:58|person|0.465116
2019-12-15-15:33|person|0.142857
2019-12-15-15:33|car|3.214286
2019-12-15-15:34|car|3.125
2019-12-15-15:34|truck|0.0625
2019-12-15-15:34|person|0.375
2019-12-15-16:49|car|3.4
2019-12-15-16:50|car|3.0
2019-12-15-16:50|boat|0.2
2019-12-15-16:50|person|0.2
2019-12-15-16:51|car|0.666667
2019-12-15-16:51|person|0.333333
2019-12-15-16:52|person|0.2
2019-12-15-16:52|car|0.8
2019-12-15-16:53|car|0.5
2019-12-15-16:53|person|0.5
2019-12-16-07:28|car|1.0
2019-12-16-07:32|car|1.588235
2019-12-16-07:32|person|0.176471
2019-12-16-07:33|car|1.25
2019-12-16-07:33|truck|0.035714
2019-12-16-07:33|bus|0.089286
2019-12-16-07:33|person|0.017857
